Time,ID,B0,B1,B2,B3,B4,B5,B6,B7
-1496624504.97796,167,72,80,3E,09,FF,E0,00,00
-1496624504.97798,202,0C,FC,02,72,66,EE,00,00
-1496624504.97808,204,C0,00,7D,02,41,FC,12,05
-1496624504.97821,217,00,00,00,00,00,00,00,00
-1496624504.97833,25C,01,F4,06,4F,24,18,82,5C
-1496624504.97871,085,7C,35,80,00,4A,B0,7C,7D
-1496624504.97896,455,00,00,00,00,00,00,00,00
-1496624504.97921,091,FF,FE,7E,FF,BD,C5,30,00
-1496624504.97946,092,6F,B2,6F,8A,0F,A0,2B,C5
-1496624504.97971,3A8,E0,00,A6,D5,00,00,00,00
-1496624504.98233,078,01,28,80,10,00,00,00,00
-1496624504.98371,3A6,00,40,0A,0C,5F,00,00,00
-1496624504.98508,3C3,40,0F,00,00,00,00,40,00
-1496624504.98771,165,20,C3,4B,00,10,00,00,00
-1496624504.98773,167,72,80,3D,09,FF,E0,00,00
-1496624504.98796,200,02,96,80,00,80,6A,01,14
-1496624504.98809,076,3E,3D,C0,80,00,00,00,00
-1496624504.98833,077,00,00,08,01,7F,F7,E9,FD
-1496624504.98859,07D,00,2A,CA,B0,17,BF,EF,FE
-1496624504.98883,082,7E,08,94,0C,A9,80,40,00
-1496624504.98908,085,7C,35,80,00,49,C0,7C,7D
-1496624504.98933,091,FF,FE,7E,FF,BC,C6,30,00
-1496624504.98946,092,6F,A2,6F,88,0F,A0,3C,C6
-1496624504.98971,202,0C,FB,0A,72,66,EE,00,00
-1496624504.98996,204,C4,00,7D,02,41,FB,12,20
-1496624504.99021,213,FF,FF,08,04,00,01,FF,40
-1496624504.99046,214,80,00,00,00,00,00,74,B0
-1496624504.99071,216,C0,21,98,12,82,00,06,39
-1496624504.99096,217,00,00,00,00,00,00,00,00
-1496624504.99121,230,00,02,00,00,00,00,00,00
-1496624504.99146,25C,01,F7,06,53,24,18,82,5C
-1496624504.99171,3CC,80,00,00,00,00,00,00,00
-1496624504.99196,415,00,1B,C0,E1,0F,FF,0F,FF
-1496624504.99221,416,93,00,FA,00,01,00,00,00
-1496624504.99246,4B0,A3,00,00,00,B0,01,50,CA
-1496624504.99508,186,14,04,01,F4,00,ED,04,00
-1496624504.99521,187,E0,14,08,00,00,30,00,00
-1496624504.99523,242,00,EB,20,0C,E8,00,00,01
-1496624504.99659,047,20,00,00,00,00,00,00,00
-1496624504.99809,167,72,80,3F,09,FF,E0,00,00
-1496624504.9981,202,0C,FA,12,72,60,EE,00,00
-1496624504.99811,204,C8,00,7D,02,41,FA,12,20
-1496624504.99812,217,00,00,00,00,00,00,00,00
-1496624504.99821,25C,01,F7,06,4D,24,18,82,5C
-1496624504.99983,085,7C,36,80,00,47,D0,7C,7D
-1496624504.99985,091,FF,FE,7F,03,B6,C7,30,00
-1496624504.99986,092,6F,B0,6F,87,0F,A0,2E,C7
-1496624504.99987,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.00121,3CA,FF,80,08,00,00,00,00,00
-1496624505.00259,078,00,28,00,10,00,00,00,00
-1496624505.00796,167,72,80,40,09,FF,E0,00,00
-1496624505.00798,165,20,C3,4B,00,10,00,00,00
-1496624505.00799,076,3E,3E,C0,80,00,00,00,00
-1496624505.00821,077,00,00,08,00,7F,F7,E5,FF
-1496624505.00846,07D,00,2A,C9,C0,18,3F,EF,FE
-1496624505.00871,082,7E,08,94,0C,A9,80,40,00
-1496624505.00896,085,7C,37,80,00,44,E0,7C,7E
-1496624505.00909,091,FF,FE,7F,03,B5,C8,30,00
-1496624505.00934,092,6F,AA,6F,89,0F,A0,31,C8
-1496624505.00959,178,02,21,02,00,4E,5D,CE,4D
-1496624505.00984,213,FF,FF,08,04,00,01,FF,40
-1496624505.01009,214,80,00,00,00,00,00,73,C0
-1496624505.01034,216,C0,21,98,12,82,00,07,38
-1496624505.01058,217,00,00,00,00,00,00,00,00
-1496624505.01083,200,02,96,80,00,80,6A,03,12
-1496624505.01109,202,0C,F9,1A,72,60,EE,00,00
-1496624505.01134,204,CC,00,7D,02,41,F9,12,15
-1496624505.01147,415,00,1B,C4,E0,0F,FF,0F,FF
-1496624505.01179,4B0,A3,00,00,00,C0,01,50,C9
-1496624505.01309,230,00,02,00,00,00,00,00,00
-1496624505.01321,25C,01,F6,06,53,24,18,82,5C
-1496624505.01459,186,14,04,01,F4,00,ED,04,00
-1496624505.01484,187,E0,14,08,00,00,30,00,00
-1496624505.01509,18A,00,20,18,00,14,00,00,00
-1496624505.01659,42C,88,00,00,00,54,A0,00,00
-1496624505.0166,047,20,00,00,00,00,00,00,00
-1496624505.01796,167,72,80,3F,09,FF,E0,00,00
-1496624505.01798,202,0C,F8,22,72,62,EE,00,00
-1496624505.01809,204,D0,00,7D,02,42,F8,12,1A
-1496624505.0181,217,00,00,00,00,00,00,00,00
-1496624505.01821,25C,01,F7,06,4E,24,18,82,5C
-1496624505.01959,085,7C,37,80,00,44,F0,7C,7D
-1496624505.01984,3CC,80,00,00,00,00,00,00,00
-1496624505.01986,091,FF,FE,7F,03,B4,C9,30,00
-1496624505.01987,092,6F,AC,6F,87,0F,A0,30,C9
-1496624505.01996,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.02259,078,55,29,80,10,00,00,00,00
-1496624505.02271,422,00,00,00,8E,3C,12,FF,00
-1496624505.02273,423,AB,A0,00,00,00,00,00,00
-1496624505.02274,430,37,01,58,34,C8,79,77,00
-1496624505.02784,165,20,C3,4B,00,10,00,00,00
-1496624505.02796,167,72,80,3E,09,FF,E0,00,00
-1496624505.02798,200,02,96,80,00,80,6A,05,10
-1496624505.02809,076,3E,3F,C0,80,00,00,00,00
-1496624505.02834,077,00,00,08,01,7F,F7,ED,FE
-1496624505.0286,07D,00,2A,C8,D0,18,3F,EF,FE
-1496624505.02884,082,7E,08,94,0C,A9,80,40,00
-1496624505.02909,085,7C,38,80,00,51,00,7C,7E
-1496624505.02934,091,FF,FE,7E,FC,BB,CA,30,00
-1496624505.02959,092,6F,B5,6F,8C,0F,A0,21,CA
-1496624505.02972,202,0C,F7,2A,72,62,EE,00,00
-1496624505.02996,204,D4,00,7D,02,42,F7,12,1A
-1496624505.03021,213,FF,FF,08,04,00,01,FF,40
-1496624505.03046,214,80,00,00,00,00,00,72,D0
-1496624505.03071,216,C0,21,99,12,82,00,08,2D
-1496624505.03096,217,00,00,00,00,00,00,00,00
-1496624505.03121,230,00,02,00,00,00,00,00,00
-1496624505.03146,25C,01,FA,06,51,24,18,82,5C
-1496624505.03171,3CA,FF,80,08,00,00,00,00,00
-1496624505.03196,415,00,1B,C8,DF,0F,FF,0F,FF
-1496624505.03221,4B0,A3,00,00,00,D0,01,50,C8
-1496624505.03484,186,14,04,01,F4,00,ED,04,00
-1496624505.03497,187,DF,14,08,00,00,40,00,00
-1496624505.03498,242,00,EB,20,0A,E8,00,00,01
-1496624505.03759,047,20,00,00,00,00,00,00,00
-1496624505.03796,167,72,80,3F,09,FF,E0,00,00
-1496624505.03798,202,0C,F6,32,72,62,EE,00,00
-1496624505.03799,204,D8,00,7D,02,42,F6,12,20
-1496624505.038,217,00,00,00,00,00,00,00,00
-1496624505.03834,25C,01,F7,06,4D,24,18,82,5C
-1496624505.03871,085,7C,38,80,00,51,10,7C,7D
-1496624505.04034,091,FF,FE,7F,02,B3,CB,30,00
-1496624505.04036,092,6F,A1,6F,8C,0F,A0,34,CB
-1496624505.04037,3A8,E0,00,A6,D5,00,00,00,00
-1496624505.04172,078,01,28,80,10,00,00,00,00
-1496624505.04697,167,72,80,3F,09,FF,E0,00,00
-1496624505.04721,165,20,C3,4B,00,10,00,00,00
-1496624505.04884,200,02,96,80,00,80,6C,07,0C
-1496624505.04886,076,3E,40,C0,80,00,00,00,00
-1496624505.04887,077,00,00,08,00,7F,F7,F9,FE
-1496624505.04888,07D,00,2A,C7,E0,18,3F,EF,FE
-1496624505.04889,082,7E,08,94,0C,A9,80,40,00
-1496624505.04909,085,7C,38,80,00,50,20,7C,7D
-1496624505.04922,091,FF,FE,7E,FF,B6,CC,30,00
-1496624505.04947,092,6F,B1,6F,85,0F,A0,2A,CC
-1496624505.04972,202,0C,F5,3A,72,64,EE,00,00
-1496624505.04997,204,DC,00,7D,02,43,F5,12,1A
-1496624505.05022,213,FF,FF,08,04,00,01,FF,40
-1496624505.05047,214,80,00,00,00,00,00,71,E0
-1496624505.05071,216,C0,21,99,12,82,00,09,31
-1496624505.05097,217,00,00,00,00,00,00,00,00
-1496624505.05122,230,00,02,00,00,00,00,00,00
-1496624505.05135,25C,01,F9,06,52,24,18,82,5C
-1496624505.05159,3CC,80,00,00,00,00,00,00,00
-1496624505.05197,415,00,1A,CC,DF,0F,FF,0F,FF
-1496624505.05209,4B0,A3,00,00,00,E0,01,50,C7
-1496624505.05472,186,14,04,01,F4,00,ED,04,00
-1496624505.05484,187,DF,14,08,00,00,40,00,00
-1496624505.05747,047,20,00,00,00,00,00,00,00
-1496624505.0576,167,72,80,3F,09,FF,E0,00,00
-1496624505.05771,202,0C,F4,42,72,64,EE,00,00
-1496624505.05773,204,E0,00,7D,02,43,F4,12,1A
-1496624505.05797,217,00,00,00,00,00,00,00,00
-1496624505.05822,25C,01,FB,06,4E,24,18,82,5C
-1496624505.0596,085,7C,39,80,00,4E,30,7C,7D
